Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-04-18,Running,Cardio,474.0,34,,,,,
2020-04-19,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-19,Running,Cardio,535.0,41,,,,,
2020-04-19,Running,Cardio,24.0,1,,,,,
2020-04-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-20,Running,Cardio,443.0,32,,,,,
2020-04-20,push ups,Strength,,,3,16,,,
2020-04-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-21,Running,Cardio,474.0,34,,,,,
2020-04-22,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-22,Running,Cardio,317.0,24,,,,,
2020-04-23,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-23,Running,Cardio,443.0,33,,,,,
2020-04-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-24,Running,Cardio,432.0,32,,,,,
2020-04-25,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-25,Running,Cardio,476.0,34,,,,,
2020-04-27,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-27,Running,Cardio,544.0,42,,,,,
2020-04-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-29,Running,Cardio,452.0,36,,,,,
2020-05-02,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-02,Running,Cardio,480.0,35,,,,,
2020-05-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-04,Running,Cardio,420.0,32,,,,,
2020-05-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-05,Running,Cardio,439.0,33,,,,,
2020-05-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-07,Running,Cardio,552.0,43,,,,,
2020-05-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-08,Running,Cardio,474.0,34,,,,,
2020-05-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-09,Running,Cardio,419.0,32,,,,,
2020-05-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-15,Running,Cardio,488.0,38,,,,,
2020-05-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-16,Running,Cardio,540.0,45,,,,,
2020-05-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-17,Running,Cardio,441.0,34,,,,,
2020-05-19,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-19,Running,Cardio,479.0,34,,,,,
2020-05-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-21,Running,Cardio,445.0,35,,,,,
2020-05-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-24,Running,Cardio,448.0,35,,,,,
2020-05-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-26,Running,Cardio,553.0,43,,,,,
2020-05-28,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-28,Running,Cardio,480.0,36,,,,,
2020-05-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-30,Running,Cardio,439.0,33,,,,,
2020-05-31,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-05-31,Running,Cardio,810.0,66,,,,,
2020-06-02,Generic,Cardio,363.0,40,,,,,
2020-06-02,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-02,Running,Cardio,457.0,37,,,,,
2020-06-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-05,Running,Cardio,566.0,45,,,,,
2020-06-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-07,Running,Cardio,480.0,35,,,,,
2020-06-09,Running,Cardio,443.0,32,,,,,
