Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2020-05-15,Dinner,,550.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.0,56.5,6.0,12.0,12.5,0.0,0.0,0.0,0.0,
2020-05-15,Lunch,,400.0,13.0,2.5,7.0,2.5,0.2,0.2,0.0,0.0,45.0,8.0,1.0,29.0,0.0,0.0,0.0,0.0,
2020-05-17,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-17,Dinner,,986.4,69.4,10.6,6.8,3.2,0.0,0.0,1081.2,60.6,46.5,6.0,16.1,38.8,30.0,45.6,3.2,3.6,
2020-05-17,Lunch,,236.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
2020-05-18,Breakfast,,463.7,19.6,4.3,4.6,9.6,0.0,0.0,116.4,0.0,57.3,0.0,9.4,12.1,0.0,0.0,6.0,0.0,
2020-05-18,Dinner,,748.0,35.4,2.7,0.8,1.2,0.0,0.0,266.0,0.0,57.1,11.8,9.3,50.1,0.0,0.0,7.2,12.0,
2020-05-18,Lunch,,309.8,13.1,0.2,0.0,0.0,0.0,0.0,2.9,69.7,22.1,0.3,23.1,12.0,0.0,0.0,11.8,0.0,
2020-05-19,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-19,Dinner,,966.1,48.6,3.8,1.6,9.8,0.0,0.0,1202.1,1229.1,69.2,24.2,14.3,65.7,335.0,80.4,115.8,25.1,
2020-05-19,Lunch,,600.0,24.4,4.5,4.2,8.8,0.0,0.0,154.0,0.0,78.4,1.0,10.0,13.3,0.0,0.0,0.0,2.0,
2020-05-19,Snacks,,100.0,8.0,1.5,0.0,0.0,0.0,0.0,70.0,0.0,3.0,1.0,1.5,3.5,0.0,0.0,0.0,2.0,
2020-05-21,Breakfast,,460.8,14.1,2.5,7.8,2.4,0.0,0.0,702.9,769.7,57.2,9.4,12.2,31.0,23.0,75.0,44.8,57.0,
2020-05-21,Dinner,,938.0,18.0,5.3,4.8,6.3,0.0,22.5,1355.0,0.0,169.3,24.3,0.0,37.0,0.0,0.0,0.0,0.0,
2020-05-22,Breakfast,,548.0,28.8,2.2,1.8,10.4,0.0,0.0,200.0,0.0,65.7,3.0,0.1,7.3,0.0,0.0,0.0,0.0,
2020-05-22,Lunch,,563.4,32.6,10.0,0.0,0.0,0.0,25.0,840.0,0.0,33.3,1.2,0.0,31.0,4.0,0.0,15.0,0.0,
2020-05-28,Breakfast,,427.0,14.6,3.3,7.8,2.4,0.0,0.0,724.0,700.0,48.0,9.1,1.1,30.3,23.0,75.0,39.0,57.0,
2020-05-28,Dinner,,520.0,13.0,2.5,7.0,2.5,0.2,0.2,82.5,0.0,51.0,11.0,2.5,51.5,0.0,0.0,9.0,15.0,
2020-05-28,Lunch,,94.6,0.3,0.1,0.1,0.0,0.0,0.0,1.8,194.7,25.1,4.4,18.9,0.5,5.5,8.4,10.9,0.2,
2020-05-29,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-29,Dinner,,853.0,42.5,5.2,9.0,4.1,0.0,0.0,1579.3,103.2,74.9,14.5,8.5,47.2,50.0,24.0,22.1,21.3,
2020-05-29,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,330.0,960.0,46.0,7.0,1.0,30.0,20.0,68.0,20.0,45.0,
2020-05-30,Breakfast,,454.0,16.2,4.3,7.8,2.4,0.0,0.0,748.0,700.0,49.9,9.1,1.1,31.6,123.0,188.0,70.0,157.0,
2020-05-30,Dinner,,572.4,40.4,8.2,10.8,3.6,0.0,0.0,596.6,0.0,0.0,4.0,2.1,20.0,0.0,0.0,0.0,0.0,
2020-05-30,Lunch,,706.3,41.7,3.7,11.7,8.5,0.0,0.0,293.9,1515.8,86.5,12.0,31.4,11.2,155.5,118.4,17.0,12.7,
2020-05-31,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-31,Dinner,,1585.7,84.4,18.7,1.4,9.8,0.0,0.0,210.4,80.1,151.3,14.2,84.4,65.0,0.0,275.0,22.1,7.1,
2020-06-01,Breakfast,,498.4,23.2,5.4,12.2,3.0,0.0,0.0,48.0,777.8,30.1,8.6,4.9,47.0,25.6,83.3,48.7,63.3,
2020-06-01,Dinner,,731.9,38.4,4.0,2.9,14.5,0.0,0.0,1965.7,770.1,71.6,15.9,18.8,33.3,24.0,32.0,4.1,6.1,
2020-06-01,Lunch,,316.8,10.3,1.5,6.8,1.4,0.0,0.0,221.2,721.4,38.4,8.3,21.1,22.2,16.6,45.1,22.0,22.4,
2020-06-02,Breakfast,,506.5,18.3,7.2,7.9,2.5,0.0,0.0,700.4,731.4,59.6,11.0,7.6,30.1,24.2,90.8,36.3,58.0,
