Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Feb. 21, 2025","Feb. 21, 2025",Run,536,6.549804771840001,2839,7.224372166547363,4.318486290066015,8.30519673984,13.893756433919998,0,7464,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8418866398
"Feb. 19, 2025","Feb. 19, 2025",Run,490,6.08988644352,2471,6.760953531376759,4.4817950668098305,8.8744860864,13.387505091839998,0,6536,Bo CS,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8416262335
"Feb. 18, 2025","Feb. 18, 2025",Run,418,5.08549485312,2167,7.101340670484371,4.799402738010021,8.449104280319998,12.50156121984,0,5706,Good. No CS,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8414674477
"Feb. 14, 2025","Feb. 14, 2025",Run,476,6.039980686080001,2713,7.485348067287044,4.6783596297621886,8.01569184768,12.825007176959998,0,7110,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8408385481
"Jan. 31, 2025","Jan. 31, 2025",Run,393,5.9615734464,3169,8.860628927065935,5.025519714865188,6.771524094719999,11.93906330496,0,8192,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8386818187
"Jan. 24, 2025","Jan. 24, 2025",Run,507,6.533984920320001,3014,7.688412172910204,4.5632816849598345,7.803918270719999,13.148437040639998,0,7880,Bad CS :( my failt fir bad diet in prebious 3 days,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8375717794
"Jan. 22, 2025","Jan. 22, 2025",Run,487,6.101988710400001,2422,6.614123518651077,4.804802453670564,9.07150197888,12.487495553279999,0,6420,Good good. Got back on the horse afrer binge eatong yesterday good on u,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8373147832
"Jan. 20, 2025","Jan. 20, 2025",Run,227,2.9765139148800004,1054,5.839230145947665,4.444444444444445,10.275323477759999,13.49999823744,0,2827,Thats wrong fuck off,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8370210790
"Jan. 18, 2025","Jan. 18, 2025",Run,363,4.5325564416,1815,6.669114869164082,0.7786278135687584,8.99669966976,77.058609408,0,4807,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8367305812
"Jan. 16, 2025","Jan. 16, 2025",Run,469,5.91219877248,2318,6.530114133460589,4.29674451204963,9.188227699199999,13.964068673279998,0,6152,"Not bad, hard still but thats ok will fet easier",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8364178999
"Jan. 14, 2025","Jan. 14, 2025",Run,493,6.217877571840001,2438,6.534960828760041,4.688643322993716,9.181355800319999,12.796875843839999,0,6470,Slow but thats ok,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8361008254
"Jan. 12, 2025","Jan. 12, 2025",Run,448,6.0497976844800005,8531,23.499512844985286,0.28823359082955535,2.55324034944,208.163818368,0,21026,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8358009376
"Jan. 12, 2025","Jan. 12, 2025",Run,4,0,20,0,3.507870287520878,0,17.1044299008,0,,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8357765764
"Jan. 11, 2025","Jan. 11, 2025",Run,367,4.49008585344,1888,7.0063330151912835,4.2752140002386065,8.5636412928,14.03438091264,0,4977,Not bad short one. Im worried about cps so taking it easy abd buolding it sliwly,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8356367578
"Jan. 7, 2025","Jan. 7, 2025",Run,359,6.058278927360001,3486,9.587260399268272,4.842979499721626,6.2583203865599994,12.389068074239999,0,8960,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8350730596
